Order ID,Customer ID,Customer Segment,Order Priority,Product Category,Product Sub-Category,State or Province,Region,City,Order Date,Unit Price,Quantity ordered new,Profit,Sales
85938,1185,Consumer,Medium,Technology,Office Machines,Alabama,South,Madison,2015-03-21,6783.02,3,4.11,20552.55
87317,2855,Consumer,Low,Technology,Office Machines,Washington,West,Des Moines,2015-03-10,6783.02,1,-14140.7016,6296
87993,1606,Home Office,Medium,Technology,Office Machines,New York,East,Franklin Square,2015-01-07,6783.02,2,77.9836,13121.07
91277,2004,Home Office,Medium,Technology,Office Machines,Montana,West,Bozeman,2015-04-17,6783.02,1,-13562.63741,6569.07
88425,53,Corporate,Critical,Technology,Office Machines,Washington,West,Redmond,2015-01-28,3502.14,1,-6923.5992,3267.55
88544,3151,Corporate,Critical,Technology,Office Machines,California,West,Twentynine Palms,2015-02-04,3502.14,1,-4075.933992,3501.79
88600,1212,Corporate,High,Technology,Copiers and Fax,Indiana,Central,Gary,2015-01-15,3499.99,1,-3061.82,3672.89
89219,2454,Corporate,Medium,Technology,Copiers and Fax,Alabama,South,Hoover,2015-03-01,3499.99,1,-68.432,3550.28
86003,2139,Corporate,Critical,Technology,Office Machines,Wisconsin,Central,Watertown,2015-04-16,2550.14,2,-3971.0628,4845.27
90832,1112,Corporate,Not Specified,Technology,Office Machines,California,West,Yucaipa,2015-04-02,2550.14,2,-5390.738892,4698.21
2433,553,Corporate,Not Specified,Technology,Office Machines,California,West,Los Angeles,2015-02-21,2036.48,25,4073.25,43046.2
86190,555,Corporate,Not Specified,Technology,Office Machines,Utah,West,Pleasant Grove,2015-02-21,2036.48,6,6028.41,10331.09
86883,2489,Consumer,High,Technology,Office Machines,California,West,Concord,2015-02-11,2036.48,2,-1596.7458,3786.84
89450,1425,Small Business,Low,Technology,Office Machines,Colorado,West,Fort Collins,2015-01-01,2036.48,1,-4793.004,2013.67
91127,524,Consumer,Not Specified,Technology,Office Machines,Tennessee,South,Farragut,2015-01-20,2036.48,1,-11.536,1893.93
